unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"1775CCF7-F3CB-38BA-E063-4704A8C05A7C","300000","2024-03-28","L23 0QL","S","N","F","","6","MELROSE AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-F3CB-38BA-E063-4704A8C05A7C/current"
"1061746E-32EF-3C34-E063-4804A8C0F9E7","257500","2023-12-20","L23 0RD","S","N","F","","2","WHITHAM AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-32EF-3C34-E063-4804A8C0F9E7/current"
"1061746E-331D-3C34-E063-4804A8C0F9E7","332000","2024-01-12","L23 0SA","S","N","F","","15","MORNINGTON AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-331D-3C34-E063-4804A8C0F9E7/current"
"152AB733-FA60-E651-E063-4704A8C061D9","280000","2024-03-08","L23 0TB","S","N","F","","10","RYDAL AVENUE","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/152AB733-FA60-E651-E063-4704A8C061D9/current"
"1775CCF7-5E3E-38BA-E063-4704A8C05A7C","280000","2024-01-08","L23 0TL","S","N","F","","31","BROWNMOOR PARK","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-5E3E-38BA-E063-4704A8C05A7C/current"
"1775CCF7-6089-38BA-E063-4704A8C05A7C","126500","2023-12-19","L23 0TT","F","N","L","FLAT 6","BROOKSIDE COURT","ENDBUTT LANE","GREAT CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-6089-38BA-E063-4704A8C05A7C/current"
"1775CCF7-6041-38BA-E063-4704A8C05A7C","145000","2024-04-05","L23 0TT","F","N","L","FLAT 7","BROOKSIDE COURT","ENDBUTT LANE","GREAT CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-6041-38BA-E063-4704A8C05A7C/current"
"152AB733-F82A-E651-E063-4704A8C061D9","173500","2023-12-18","L23 0TT","T","N","F","","39","ENDBUTT LANE","GREAT CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/152AB733-F82A-E651-E063-4704A8C061D9/current"
"12A8BAB6-67E2-2125-E063-4804A8C08CC1","240000","2024-02-14","L23 0UG","T","N","F","","85","ROSEDALE AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB6-67E2-2125-E063-4804A8C08CC1/current"
"1775CCF7-6061-38BA-E063-4704A8C05A7C","240000","2024-04-10","L23 0YE","F","N","L","FLAT 9","MILLENNIUM COURT, 4","COLLEGE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-6061-38BA-E063-4704A8C05A7C/current"
